Formula Workfunction HoF E_Hull IP(M) IP(X) IP(T) EA(M) EA(X) EA(T) EN(M) EN(X) EN(T) Length(x) r-(M) r-(X) r-(T)
Y2N 3.961487736 -0.6975397879999999 0.458548793 6.217 14.5341 6.217 0.308 -0.07 0.308 1.22 3.04 1.22 343.8 86.5 48.8 86.5
Cr2CO2 6.417723431000001 -0.881746892 0.441495809 6.766 11.2603 13.618 0.6758 1.262 1.439 1.66 2.55 3.44 290.8 42.7 59.6 41.4
Mo2CF2 5.867241689 -1.016778224 0.324506247 7.0942 11.2603 17.4228 0.749 1.262 3.401 2.16 2.55 3.98 287.2 70.2 59.6 36.0
Ti2CF2 4.803881267 -2.27416768 0.0 6.8282 11.2603 17.4228 0.087 1.262 3.401 1.54 2.55 3.98 304.8 48.9 59.6 36.0
Zr2CF2 3.905669365 -2.362683664 0.0 6.6339 11.2603 17.4228 0.427 1.262 3.401 1.33 2.55 3.98 328.7 79.0 59.6 36.0
Sc2CO2 6.377828005 -1.812340172 0.7316417829999999 6.5614 11.2603 13.618 0.189 1.262 1.439 1.36 2.55 3.44 322.90000000000003 53.9 59.6 41.4
W2CO2 5.937513434 -0.935930369 0.355423706 7.98 11.2603 13.618 0.816 1.262 1.439 2.36 2.55 3.44 311.0 74.6 59.6 41.4
Hf2F2N 3.31444709 -2.381737077 0.218314789 6.825 14.5341 17.4228 0.178 -0.07 3.401 1.3 3.04 3.98 320.8 82.9 48.8 36.0
Sc2F2N 3.768005716 -2.984131642 0.016245819 6.5614 14.5341 17.4228 0.189 -0.07 3.401 1.36 3.04 3.98 318.29999999999995 53.9 48.8 36.0
Y2F2N 3.064709989 -2.919192408 8.65e-05 6.217 14.5341 17.4228 0.308 -0.07 3.401 1.22 3.04 3.98 344.6 86.5 48.8 36.0
Mo2NO2 6.830337149 -1.058915736 0.3392577 7.0942 14.5341 13.618 0.749 -0.07 1.439 2.16 3.04 3.44 285.9 70.2 48.8 41.4
Ti2NO2 5.733969426 -2.427262572 0.08159655099999999 6.8282 14.5341 13.618 0.087 -0.07 1.439 1.54 3.04 3.44 300.09999999999997 48.9 48.8 41.4
Mo2CH2O2 2.126567246 -0.576427893 0.38807834 7.0942 11.2603 13.017 0.749 1.262 1.827 2.16 2.55 2.82 295.5 70.2 59.6 41.4
Ti2CH2O2 1.912019945 -1.429972453 0.161596464 6.8282 11.2603 13.017 0.087 1.262 1.827 1.54 2.55 2.82 307.2 48.9 59.6 41.4
Zr2CH2O2 2.0307807 -1.485474419 0.316168479 6.6339 11.2603 13.017 0.427 1.262 1.827 1.33 2.55 2.82 331.1 79.0 59.6 41.4
